,experiment_number,sample_size,groupA_RT_mean,groupB_RT_mean,groupA_Acc_mean,groupB_Acc_mean,RT_effect_size,Acc_effect_size,Drift_effect_size,p_value_RTs,p_value_Acc,p_value_Drift,seed
0,0.0,10.0,1.0659798744637905,1.0499904831324434,0.8825,0.8724999999999999,0.13866865480758253,0.22883102141894218,0.0,0.7600670923878008,-0.6150938681433407,0.5411764705882353,0.0
1,1.0,10.0,1.106885843873117,0.9939870743245424,0.8875000000000002,0.8950000000000001,1.3738774757408203,-0.15897487512319824,0.0,0.006568109304441375,0.7263627156883301,0.0,1.0
2,2.0,10.0,1.0624585139673512,1.0109787657922766,0.8975000000000002,0.8724999999999999,0.4365844697518771,0.5679618342470703,0.0,0.34188783481105833,-0.22025688813325583,0.6411764705882353,2.0
3,3.0,10.0,1.0397457867021387,1.0101287483038377,0.8725000000000002,0.9000000000000001,0.30495113492021697,-0.641654289195591,0.0,0.5039880401644128,0.1684964454121319,0.047058823529411764,3.0
4,4.0,10.0,1.0582631457578726,1.1275733377360981,0.8825,0.8724999999999999,-0.7244640352289173,0.17597653802562407,0.0,-0.12262966020479474,-0.6985755249359451,0.8588235294117647,4.0
5,5.0,10.0,1.002121678343561,1.1047160518773567,0.9025000000000001,0.8425,-1.0241560026095515,1.325627449773587,0.0,-0.03430944581037445,-0.008307006163234185,1.0,5.0
6,6.0,10.0,1.0665545679893647,1.0534709245864928,0.885,0.8825,0.1283980301023604,0.04982728791224513,0.0,0.777309548242054,-0.9125185241418861,0.3941176470588235,6.0
7,7.0,10.0,1.0388295153894866,1.1088300339669241,0.8825,0.86,-0.645392575951933,0.42557961936911365,0.0,-0.16615850606634355,-0.35389172770127364,0.8647058823529412,7.0
8,8.0,10.0,1.078080562130731,0.97890508529761,0.8675,0.8950000000000001,1.2655567176219706,-0.6619889547851594,0.0,0.011101931293243685,0.15609689489189635,0.029411764705882353,8.0
9,9.0,10.0,1.041354642802947,1.0446842886768992,0.8925000000000001,0.8924999999999998,-0.036538853058668753,4.434737012938992e-15,0.0,-0.935784263723816,-0.9999999999999922,0.5647058823529412,9.0
10,10.0,10.0,1.093782820447888,1.0631234952823483,0.8775000000000001,0.86,0.20810157723826084,0.29220263758795845,0.0,0.6472760602201885,-0.5217677087199872,0.5058823529411764,10.0
11,11.0,10.0,1.0464479084096354,1.0813299593948558,0.885,0.8975000000000002,-0.3606217380919803,-0.23526698345823335,0.0,-0.4305525212412713,0.6052593582589935,0.27058823529411763,11.0
12,12.0,10.0,1.1143557778518773,1.046195927682503,0.8975000000000002,0.875,0.5671832197049382,0.4814524923445111,0.0,0.22086379873465928,-0.2958946855916864,0.8588235294117647,12.0
13,13.0,10.0,1.0251972026513239,1.0687721733604245,0.8525,0.9249999999999998,-0.4096239181020392,-1.5513469197767409,0.0,-0.3718035410895457,0.0027393452418521904,0.0,13.0
14,14.0,10.0,1.068536403097914,1.0299848768821245,0.875,0.9075,0.35752651403181923,-0.6495490807643212,0.0,0.43445110639550377,0.16359015279583747,0.0,14.0
15,15.0,10.0,0.9912093749129165,1.0486260986333524,0.8474999999999999,0.875,-0.5434420892501453,-0.4279943248879007,0.0,-0.2399994330395297,0.3512333342876591,0.23529411764705882,15.0
16,16.0,10.0,1.0760962274238215,1.0013129778046301,0.8700000000000001,0.8474999999999999,0.8146382993433086,0.4682393835430286,0.0,0.08517959011516701,-0.3089492936111063,0.788235294117647,16.0
17,17.0,10.0,1.0331314259810431,1.0827834271530299,0.8924999999999998,0.8925000000000001,-0.4886361402396951,-4.207743765781916e-15,0.0,-0.28896749531736277,0.9999999999999927,0.6058823529411764,17.0
18,18.0,10.0,1.0745037004886817,1.0723105676176437,0.8825,0.8725000000000002,0.019210409375693214,0.17056057308448475,0.0,0.9662097076106737,-0.7073820719786836,0.6058823529411764,18.0
19,19.0,10.0,1.0184009671980212,1.0273787441903577,0.86,0.8875,-0.0750585476024145,-0.4894935754389829,0.0,-0.8685836197469434,0.28814865145336843,0.27647058823529413,19.0
20,20.0,10.0,1.1326651650471908,1.106425692650361,0.8800000000000001,0.875,0.22962453856675707,0.10639903531978873,0.0,0.6138772117822716,-0.8146338355967464,0.5411764705882353,20.0
21,21.0,10.0,1.0766469245618193,1.031671141650843,0.8875,0.8825000000000001,0.3990689302476965,0.08218407016184731,0.0,0.3839824392103409,-0.8562488713755033,0.40588235294117647,21.0
22,22.0,10.0,1.0634931032841122,1.07238644999108,0.8675,0.8475000000000001,-0.09685215941478693,0.38679502273218075,0.0,-0.8309805385171287,-0.39847418712733484,0.9764705882352941,22.0
23,23.0,10.0,0.9920901357223709,1.0568151878285725,0.8574999999999999,0.885,-0.8438225895666472,-0.5810975981749134,0.0,-0.07541794295447347,0.21021260189513322,0.08823529411764706,23.0
24,24.0,10.0,1.0464065404572493,1.113121040833626,0.8924999999999998,0.8925000000000001,-0.6757018214686191,-3.882496008884005e-15,0.0,-0.14816653446919462,0.9999999999999931,0.6529411764705882,24.0
25,25.0,10.0,1.04212433865011,1.0929197943275608,0.8975000000000002,0.875,-0.5413985103303092,0.4354272373930257,0.0,-0.24170420902415654,-0.3431366784455414,0.9882352941176471,25.0
26,26.0,10.0,1.0399321382354825,1.1196418021300665,0.9025000000000001,0.8724999999999999,-0.9865346896266154,0.5629124404806886,0.0,-0.04062311297516946,-0.22421591856599368,0.9647058823529412,26.0
27,27.0,10.0,1.03145375601571,1.0519682355116242,0.8800000000000001,0.8724999999999999,-0.19979197471146481,0.1537843783890205,0.0,-0.6603852402671238,-0.7349266135277777,0.5588235294117647,27.0
28,28.0,10.0,1.081450271933399,1.0992368782405268,0.8549999999999999,0.9075000000000001,-0.23516280287316663,-0.9979904526288198,0.0,-0.6054179420101056,0.03859553146558881,0.058823529411764705,28.0
29,29.0,10.0,1.0286825657247085,1.0732138422058104,0.875,0.8724999999999999,-0.38577623276272816,0.04969039949999649,0.0,-0.3996929512404612,-0.9127578151509218,0.38823529411764707,29.0
30,30.0,10.0,1.0762759355089067,1.0574023281210556,0.885,0.8774999999999998,0.1871990475595544,0.1743387399508674,0.0,0.6804680253517769,-0.7012340712114226,0.3764705882352941,30.0
31,31.0,10.0,1.019212466401459,1.0490644550385841,0.89,0.86,-0.2622379861949294,0.5595028849441886,0.0,-0.5649007179620429,-0.22692028271961717,0.9764705882352941,31.0
