,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,-0.011045097590367373,0.009217694805116777,0.05,0.01,0.0165
1,10.0,3.9999999999999987,0.7335098383834949,-0.7786095155038527,0.6665,0.2985,0.3475
2,20.0,0.0,0.004494115700291412,0.0069129180618297936,0.0615,0.0195,0.017
3,20.0,3.9999999999999987,0.6923581794219842,-0.7529447927762876,0.9055,0.564,0.626
4,30.0,0.0,-0.00333927443128055,-0.0005155303321588828,0.071,0.0165,0.022
5,30.0,3.9999999999999987,0.692625915203344,-0.751533777445887,0.9795,0.7585,0.8175
6,40.0,0.0,0.0087063909937901,-0.006063697581896012,0.082,0.0225,0.026
7,40.0,3.9999999999999987,0.6823838560546832,-0.757530084837191,0.992,0.8555,0.916
8,50.0,0.0,-0.007926072909572403,-0.001089108679422,0.0835,0.016,0.026
9,50.0,3.9999999999999987,0.6842497053664924,-0.7434553876106161,0.998,0.9375,0.9595
10,75.0,0.0,0.004156443157453221,0.0054773725206929014,0.075,0.0195,0.0185
11,75.0,3.9999999999999987,0.6844649292418726,-0.7436214265359758,1.0,0.9875,0.996
12,150.0,0.0,0.005950936126792617,0.005526654023936372,0.062,0.024,0.018
13,150.0,3.9999999999999987,0.6852741324673859,-0.744046456480343,1.0,1.0,1.0
