,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(groupA),2.11249618287,0.0350387267737,2.051919036,2.0881675903,2.11206577452,2.14052535653,2.17437141437,0.00319484211931
a(groupB),2.11198460654,0.0319165002484,2.04972743443,2.0887565187,2.11415117463,2.13460728946,2.17246851754,0.00306697830439
a_std,1.13032535924,0.0221779583085,1.08652164857,1.11677630846,1.1296844224,1.14544056531,1.17359504089,0.00216542931868
a_subj(groupA).0,3.4116765908,0.283413064179,2.91326095169,3.23768026379,3.38659116442,3.56960021818,4.08257022753,0.0248460874648
a_subj(groupA).1,1.34215643932,0.0768487700441,1.22421695253,1.273285169,1.34250240204,1.39653595889,1.50265203465,0.00796310315986
a_subj(groupA).2,3.31005387168,0.247113109905,2.83124076044,3.14398000744,3.29338857754,3.49535672463,3.84229972664,0.0219436392709
a_subj(groupA).3,2.29597425248,0.153820431445,2.01163002752,2.18940067231,2.301409489,2.4041235812,2.60445525846,0.0163987130099
a_subj(groupA).4,3.66664876232,0.257365566065,3.18800543873,3.48677962024,3.67003087288,3.84140384656,4.13315062566,0.0270268010799
a_subj(groupA).5,1.31194889821,0.0827383745722,1.1552824718,1.25413123884,1.3003091106,1.3744644041,1.48226092436,0.00800439484659
a_subj(groupA).6,1.20866717177,0.0691526797743,1.06293839349,1.16316891322,1.21157542355,1.26134136514,1.32778079617,0.00674179668707
a_subj(groupA).7,2.9350217621,0.235105450543,2.51059659781,2.75818049338,2.93855135789,3.09866202232,3.37029233902,0.022225841961
a_subj(groupA).8,1.85195668701,0.146784612796,1.57181669863,1.75340078994,1.84030290322,1.95831804113,2.1129835879,0.0141769923519
a_subj(groupA).9,1.48238733206,0.0990879352988,1.29244166283,1.4042064075,1.48566993296,1.54527944235,1.70465152703,0.0105573495548
a_subj(groupA).10,2.55961455266,0.169094287956,2.23785457524,2.43306253317,2.55795002375,2.6737981408,2.92375729121,0.0162665992896
a_subj(groupA).11,1.89220357496,0.14427054872,1.65964555474,1.7947986488,1.88781237647,1.96418205754,2.23831776576,0.0160541155023
a_subj(groupA).12,2.21813715004,0.138254085978,1.95286525528,2.12232432297,2.21346538916,2.32247099513,2.4886437137,0.0140415903076
a_subj(groupA).13,3.43535703618,0.293036919481,2.88903768575,3.2276164657,3.42128982834,3.65232697403,4.02163647889,0.0276282962403
a_subj(groupA).14,2.87729014602,0.17647318584,2.51839100362,2.76631247605,2.85179083696,2.98385350015,3.26684591354,0.0179696495851
a_subj(groupA).15,1.08824053796,0.0634717940336,0.981522935938,1.04783419749,1.0794034635,1.13465793447,1.22022635705,0.00659939278983
a_subj(groupA).16,2.59058206912,0.155009970878,2.28107408294,2.47734858629,2.59322027089,2.70510103178,2.88276600323,0.015842394967
a_subj(groupA).17,2.09261903975,0.141031116177,1.79642701478,1.99926672535,2.09772245648,2.189336765,2.35988655339,0.0136662594923
a_subj(groupA).18,1.13973311509,0.0560310653675,1.04134842146,1.09889201879,1.13629357183,1.17810571388,1.24054405651,0.00559895148671
a_subj(groupA).19,1.44697175087,0.103880921434,1.23895496664,1.37382789833,1.44511891916,1.5233828543,1.63108253613,0.0108759452364
a_subj(groupA).20,2.59516944286,0.161181202707,2.24701451407,2.49128520557,2.60138664082,2.68815711869,2.94697841514,0.0172772408417
a_subj(groupA).21,0.118572606118,0.00795714753599,0.104527368161,0.112125952123,0.117991463116,0.124323752519,0.133505813193,0.000784332148322
a_subj(groupA).22,2.16091605458,0.150508032378,1.84870458804,2.06311071097,2.15849910857,2.2593120412,2.47564980158,0.0147294722054
a_subj(groupA).23,3.40897097004,0.244184831801,2.89491911095,3.27138546815,3.40677263405,3.58776589913,3.85024794141,0.0233284733475
a_subj(groupA).24,2.56756134207,0.155135486263,2.29203604218,2.45443297301,2.55287402373,2.670872098,2.89750187644,0.0165268086862
a_subj(groupA).25,3.06336305281,0.246685397024,2.554019481,2.93736108254,3.07140486006,3.21112012684,3.50110826932,0.0239064997501
