,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(groupA),2.04345259511,0.013608064096,2.01711203413,2.03570720787,2.04415884678,2.05191186345,2.07036504281,0.00131973565125
a(groupB),2.04811903321,0.0145486367622,2.0226201265,2.03783018831,2.04833863401,2.05791965344,2.07379444748,0.00146755477675
a_std,1.1626147193,0.0107468239442,1.14117521222,1.15491040676,1.1628038457,1.16959321517,1.18303667376,0.00110108695032
a_subj(groupA).0,1.34621388415,0.0893166472464,1.18396502081,1.29348556128,1.35017969046,1.40337744973,1.53539248347,0.00971460458676
a_subj(groupA).1,3.06481395032,0.223939113076,2.6764301253,2.91819276309,3.06154993556,3.21761899325,3.46865731406,0.0212468760656
a_subj(groupA).2,1.33184191522,0.0847072697197,1.19263641105,1.27047584956,1.33234005321,1.38314483201,1.51037049224,0.00910598207495
a_subj(groupA).3,2.06733026239,0.129970665416,1.81420052197,1.9878706257,2.06077833316,2.1410211452,2.34833087462,0.0120865844354
a_subj(groupA).4,1.32913701535,0.0777594396768,1.19162642171,1.27849009679,1.32411163602,1.3756729593,1.49879888262,0.00768998896893
a_subj(groupA).5,3.02686354548,0.201830838407,2.66111563443,2.89896869032,3.01409732118,3.14253539698,3.4343933121,0.019949091517
a_subj(groupA).6,1.84204302768,0.127496192797,1.60490974944,1.75936947884,1.84043571234,1.91863600487,2.14831923998,0.0142018917712
a_subj(groupA).7,0.298373231609,0.0217460165531,0.262694575406,0.282731561904,0.298151644149,0.31180936387,0.344777501663,0.00223483538345
a_subj(groupA).8,2.72248963682,0.176050259216,2.43320357427,2.58451378173,2.71572952266,2.85130345941,3.0465095865,0.0189350900084
a_subj(groupA).9,1.85938937934,0.145353882459,1.58796026574,1.76723827131,1.84727928567,1.96123970139,2.14164952338,0.0143169946665
a_subj(groupA).10,0.882973860911,0.0558091218654,0.778347015354,0.844171599757,0.882433179876,0.922673925579,0.988864587692,0.00592804485448
a_subj(groupA).11,1.99776253188,0.13826279994,1.71167893172,1.9094894154,1.99331508925,2.08928178019,2.28194150294,0.0120301516291
a_subj(groupA).12,2.73832717738,0.182164228808,2.36270229783,2.62268136583,2.74417571847,2.8643051449,3.08353125306,0.0189281402511
a_subj(groupA).13,1.58521720191,0.115251687362,1.37128012974,1.51787248537,1.58706382717,1.64798093697,1.80836181582,0.0125471452816
a_subj(groupA).14,0.871312558513,0.0608616596769,0.767454616064,0.825947495646,0.869531551341,0.913143945681,0.998998473463,0.00604639244782
a_subj(groupA).15,3.12614284528,0.229364309271,2.71727050311,2.97881230645,3.0977802875,3.25579702312,3.57445009124,0.022840087505
a_subj(groupA).16,3.56601716807,0.269880484018,3.08994646282,3.39917407025,3.55256043312,3.70353174008,4.15219224378,0.0304251015503
a_subj(groupA).17,2.22858759017,0.140745100572,1.92809985532,2.12316587609,2.22969745829,2.34280877547,2.49791961492,0.0146693378443
