,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(groupA),3.9361477277,0.0131259466565,3.91318384308,3.92694123016,3.9357811554,3.94449538062,3.96482993629,0.00121626545416
a(groupB),3.95661545276,0.00934395861837,3.94070865939,3.9490321022,3.95680805535,3.96404345176,3.97234042743,0.000755009226556
a_std,0.123288823145,0.0176794298618,0.0942810268984,0.111372261493,0.125212005497,0.132457259064,0.163452091469,0.00113769206438
a_subj(groupA).0,3.92819417814,0.112785313907,3.67839465303,3.86726643649,3.93205427043,3.99966498134,4.15868013445,0.012109993578
a_subj(groupA).1,3.85156341506,0.108899995504,3.64098271417,3.77872533197,3.83857319117,3.92393293977,4.07507528543,0.0108906402309
a_subj(groupA).2,3.98551263933,0.127582488722,3.77666852817,3.90024956394,3.98402253029,4.06453659156,4.27090814172,0.0137964182584
a_subj(groupA).3,4.05520761997,0.128926378939,3.78795895614,3.97740468222,4.04641894866,4.14737432125,4.33625367186,0.0130322274529
a_subj(groupA).4,3.97788900914,0.119583490235,3.73746684542,3.9168086101,3.96313294275,4.04532899899,4.24114016113,0.01412203893
a_subj(groupA).5,3.89816109105,0.110962788901,3.70355153729,3.81327351216,3.89748732158,3.97769614686,4.11415867386,0.0123397676272
a_subj(groupA).6,3.95131330585,0.116724246437,3.75126126984,3.87122809754,3.94953624049,4.03120466064,4.16638705378,0.0139119836618
a_subj(groupA).7,3.94056729182,0.112014423879,3.70405851843,3.87421827842,3.93802155963,4.00657824917,4.19058512474,0.0119861706792
a_subj(groupA).8,3.9313404625,0.109999782591,3.71802199762,3.86278404126,3.93931040727,4.00186244559,4.14807453645,0.0120704919283
a_subj(groupA).9,3.97124560722,0.120372749858,3.71935085438,3.90059867113,3.95886105859,4.03264682041,4.23223865327,0.0136168357673
a_subj(groupA).10,3.94750896414,0.112870793143,3.76309128186,3.86316987401,3.94079274024,4.01589312236,4.19006860067,0.0128975706608
a_subj(groupA).11,3.90813018002,0.120287228911,3.69091268397,3.81557219829,3.90311688201,4.00111232269,4.12229560806,0.0124059614972
a_subj(groupA).12,3.8840753503,0.0963967381787,3.65399677716,3.83012366045,3.88543011435,3.93940742281,4.0847079457,0.0103460470055
a_subj(groupA).13,3.98546298822,0.115471622948,3.78149251648,3.90982318069,3.98960108705,4.06061560421,4.20949236631,0.0122905279961
a_subj(groupA).14,3.94092196993,0.115401082754,3.74845082615,3.85540220199,3.93898613703,4.01483535931,4.18542220082,0.0124131779754
a_subj(groupA).15,3.93409615427,0.112324594584,3.73741637409,3.854784157,3.93309113675,4.00405157512,4.14292881249,0.0124670469983
a_subj(groupA).16,3.94726402756,0.114938946152,3.71145685311,3.85952576683,3.9556654224,4.02701234198,4.16309502041,0.0115171346548
