,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(groupA),3.89632841018,0.0190094727571,3.85896119181,3.8827613693,3.89776659351,3.91027986272,3.92808632554,0.00190826488294
a(groupB),3.91311557249,0.0182502485861,3.87418028477,3.90198637957,3.91381355051,3.92594277694,3.94940903462,0.00199486926613
a_std,0.44935571653,0.0099670801301,0.430401578949,0.442608953368,0.448024888372,0.455789224561,0.47046762461,0.00097761040828
a_subj(groupA).0,4.25066254594,0.252962431989,3.76858404129,4.09992501939,4.25327295618,4.37251826931,4.80564863611,0.0217147916266
a_subj(groupA).1,3.53812746862,0.225396948403,3.08814086548,3.37745836343,3.5229955453,3.68427645852,3.98873214843,0.0225791801098
a_subj(groupA).2,4.16468997754,0.247269017117,3.73322954744,3.99225736648,4.16221414126,4.30961626721,4.71096071754,0.022008227877
a_subj(groupA).3,4.56722032373,0.321265021364,3.9345814509,4.35841982689,4.54309128991,4.78922173463,5.24204937072,0.0303480429503
a_subj(groupA).4,4.2915517828,0.243835118627,3.82735448736,4.12370585648,4.2868819414,4.45643579303,4.8486247354,0.0222580406609
a_subj(groupA).5,3.81001163721,0.221153678056,3.44817656037,3.65009248681,3.80141136376,3.98788933183,4.27772331552,0.0225491310757
a_subj(groupA).6,4.15577021758,0.240109644419,3.73755562347,4.01480305533,4.15117804607,4.31274170115,4.67636622303,0.0264315378817
a_subj(groupA).7,4.00540187471,0.283630271269,3.42081338194,3.79080151667,3.99944696594,4.17150162501,4.63776693796,0.0275436952288
a_subj(groupA).8,3.8112255511,0.256813150089,3.39159810088,3.62503451119,3.78827080855,3.96090481197,4.3525515822,0.0257394355887
a_subj(groupA).9,4.00076749437,0.302856850951,3.47061431729,3.80303902126,4.0193679294,4.20600817777,4.60882048921,0.0298451909113
a_subj(groupA).10,3.43720507945,0.208840171608,3.02163961261,3.30623464616,3.44959718171,3.59017624226,3.82612004863,0.0230499953504
a_subj(groupA).11,3.54727393812,0.259546439787,3.01441244157,3.3795173338,3.55815280911,3.72219875218,4.00240545569,0.0272127044659
a_subj(groupA).12,3.60913697674,0.253077601526,3.1386371385,3.43696220422,3.61331243701,3.80602196208,4.08774009724,0.0259478176687
a_subj(groupA).13,4.30241198442,0.272100804861,3.74188507065,4.14877288692,4.26501678904,4.46380876555,4.84292111752,0.0298074624066
a_subj(groupA).14,3.87652990397,0.23900060768,3.44562908992,3.73125712276,3.86060007325,4.00925418189,4.38572293881,0.0261096183986
a_subj(groupA).15,3.85976976282,0.241941968976,3.41674656826,3.68502452611,3.86265748863,4.00503534466,4.42522508645,0.0224432529468
a_subj(groupA).16,4.02272493326,0.254492171119,3.50044787322,3.82783580683,4.03150695363,4.21909274793,4.46131769657,0.0235165776457
a_subj(groupA).17,3.08608245013,0.212948448325,2.70043464509,2.93118603603,3.10382389805,3.23776959228,3.49241138738,0.020498505233
a_subj(groupA).18,3.57422255595,0.233256884264,3.13278688333,3.41607612938,3.55411387113,3.73695516981,4.0200135756,0.0241322971661
a_subj(groupA).19,4.05533761218,0.300125723837,3.45111012007,3.88401418338,4.05544151169,4.24272547002,4.77003590185,0.033995162256
a_subj(groupA).20,3.80734251881,0.240276885495,3.34588625458,3.64990468662,3.79714167053,3.95187424461,4.28299558073,0.0227802292767
a_subj(groupA).21,3.87237570668,0.23999771303,3.43953937276,3.70403364565,3.85876972566,4.0631606026,4.30689764643,0.0241784393972
a_subj(groupA).22,3.74482242604,0.246248619388,3.23858734219,3.58178611406,3.75320809382,3.91103692732,4.22676503735,0.0234349801105
