,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(groupA),2.13554630516,0.0460988384402,2.04482147714,2.10420392103,2.13498273421,2.16715862452,2.22415630374,0.000954386295069
a(groupB),2.12642283024,0.0461454584808,2.03718564576,2.09544334378,2.12495023964,2.15729404024,2.21854020349,0.000968965464668
a_std,1.15998591805,0.0310403166114,1.10049026433,1.13859945568,1.15920973405,1.18062578442,1.22273567384,0.000706112828419
a_subj(groupA).0,3.41002328603,0.249285656282,2.93443170835,3.2392602716,3.40429466181,3.58273169667,3.90345108913,0.00377127350809
a_subj(groupA).1,1.35035194592,0.0800080736227,1.20047196815,1.29412534484,1.34688105889,1.40370503177,1.5101286273,0.00123302675662
a_subj(groupA).2,3.29926736216,0.236161702665,2.8510020498,3.13593073009,3.29547732791,3.45961654339,3.77286952904,0.00324160088463
a_subj(groupA).3,2.29066937916,0.158620301396,1.99667100608,2.17882627943,2.28340839299,2.39682402852,2.61583714358,0.0023600941896
a_subj(groupA).4,3.67627024957,0.255763112796,3.18419287977,3.49748822148,3.66812047001,3.83957367486,4.19940789635,0.0036012845604
a_subj(groupA).5,1.31233920937,0.0805205508646,1.16092176877,1.25620393367,1.30876466712,1.36467366517,1.4751867827,0.00106088048354
a_subj(groupA).6,1.22136720777,0.0774796098819,1.07753756311,1.16921683114,1.21827338987,1.27202308356,1.38062556093,0.00127834491378
a_subj(groupA).7,2.91299742426,0.203462234521,2.52570312058,2.77014283031,2.90814865057,3.04504891057,3.32599945146,0.0031325965032
a_subj(groupA).8,1.84047537927,0.124006851039,1.60709623919,1.75443806562,1.83893789179,1.92302875688,2.08859350611,0.0016031054544
a_subj(groupA).9,1.48354036443,0.0925515750425,1.31111570116,1.41895770328,1.48114159686,1.5455802151,1.67003916734,0.00123473539816
a_subj(groupA).10,2.56193760215,0.174153843592,2.2340595621,2.44276250247,2.55558206269,2.6765802382,2.91965553375,0.00231402788603
a_subj(groupA).11,1.88502744907,0.124010684019,1.65691072016,1.80136866833,1.88035864802,1.96396173698,2.13769384185,0.00192095361353
a_subj(groupA).12,2.23962601943,0.149978221149,1.96214499143,2.13647943381,2.23375242342,2.33860642521,2.54884276162,0.00216033671793
a_subj(groupA).13,3.45438376823,0.247942619254,2.98642206845,3.28096322449,3.44712587873,3.61743066003,3.96331061504,0.0039137581215
a_subj(groupA).14,2.86640793839,0.183865259296,2.52418506559,2.74048491226,2.8643247896,2.98659647986,3.2501643852,0.00256983397507
a_subj(groupA).15,1.08774070277,0.0685475393983,0.955144718561,1.04073738053,1.08498911438,1.13357302072,1.22722580558,0.000982409867762
a_subj(groupA).16,2.61313773725,0.173365917446,2.28466849341,2.49457529776,2.61001858086,2.72650650944,2.96676147563,0.00225229835974
a_subj(groupA).17,2.10930065134,0.1315591017,1.86356509385,2.01840810207,2.10420798975,2.19517710695,2.374467279,0.00185428170348
a_subj(groupA).18,1.14075068938,0.0674543398582,1.01568306751,1.09402177406,1.13745108817,1.18322155278,1.27914879195,0.000968141980954
a_subj(groupA).19,1.44195487888,0.0914285507644,1.27230542736,1.37926552465,1.43813850701,1.50167224224,1.63012556825,0.0013861904519
