,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,0.6341369205642164,0.4000314548871044,0.021,0.2093,0.0065
1,10.0,2.0000000000000018,0.9392372841902734,0.3947887187584854,0.1523,0.4724,0.0513
2,20.0,0.0,0.5953821068184121,0.3044690741382439,0.0222,0.4232,0.0044
3,20.0,2.0000000000000018,0.9139105170539793,0.29126981280148,0.2782,0.8039,0.0714
4,30.0,0.0,0.5916027705926292,0.2656807771966059,0.0214,0.6062,0.0028
5,30.0,2.0000000000000018,0.9107385113641172,0.2471908717794086,0.387,0.9395,0.0862
6,40.0,0.0,0.5862299314313169,0.2455937767324443,0.0214,0.7419,0.0019
7,40.0,2.0000000000000018,0.9067313126534869,0.2335204437725608,0.5229,0.9828,0.1168
8,50.0,0.0,0.5874326519045543,0.23418824442950753,0.0204,0.8376,0.0012
9,50.0,2.0000000000000018,0.9002220151998803,0.2172860530668954,0.6033,0.996,0.1326
10,60.0,0.0,0.584953293776369,0.22710654897820887,0.0217,0.8999,0.0008
11,60.0,2.0000000000000018,0.9014615073439891,0.20964770370444943,0.6872,0.9983,0.1551
12,70.0,0.0,0.58452545553501,0.22057059456648212,0.02,0.9391,0.0006
13,70.0,2.0000000000000018,0.9016185590022932,0.20350157100574628,0.7596,1.0,0.1791
14,80.0,0.0,0.5825258233543474,0.21860344672866783,0.0218,0.9619,0.0007
15,80.0,2.0000000000000018,0.9001533281410424,0.1999478184538562,0.8133,0.9999,0.197
16,90.0,0.0,0.5831243044550587,0.21366260398747566,0.0236,0.9788,0.0006
17,90.0,2.0000000000000018,0.900097505960715,0.19285541234051354,0.8471,1.0,0.2126
18,100.0,0.0,0.5820279886747647,0.21320939100389022,0.0202,0.9879,0.0
19,100.0,2.0000000000000018,0.899015541784732,0.1932026968626899,0.8874,1.0,0.2414
20,110.0,0.0,0.5811792773830738,0.2103780192173279,0.0193,0.9934,0.0
21,110.0,2.0000000000000018,0.9006048090301095,0.18955906286586036,0.9142,1.0,0.2542
22,120.0,0.0,0.5823642296349504,0.20898185572903993,0.0204,0.996,0.0002
23,120.0,2.0000000000000018,0.8977104342800398,0.18744538078046438,0.9394,1.0,0.271
24,130.0,0.0,0.583264772625694,0.20710681952300952,0.0212,0.9978,0.0
25,130.0,2.0000000000000018,0.8986565897614508,0.18458862632142145,0.9513,1.0,0.2917
26,140.0,0.0,0.5834573257339553,0.20633785870601806,0.0199,0.9992,0.0001
27,140.0,2.0000000000000018,0.8967348663651397,0.1871210433622501,0.9673,1.0,0.3266
28,150.0,0.0,0.584219469197571,0.20822109964883945,0.024,0.9997,0.0001
29,150.0,2.0000000000000018,0.8947239953317625,0.18223222287507446,0.9751,1.0,0.3274
30,200.0,0.0,0.5805029249891535,0.20412399581425908,0.0211,1.0,0.0
31,200.0,2.0000000000000018,0.8950894428819194,0.1807534204073812,0.9958,1.0,0.4254
32,250.0,0.0,0.5819948953309858,0.2035041876394288,0.019,1.0,0.0
33,250.0,2.0000000000000018,0.8980304172006199,0.17993187992048365,0.9992,1.0,0.511
34,300.0,0.0,0.5807562826417773,0.20324333886808393,0.0217,1.0,0.0
35,300.0,2.0000000000000018,0.8942208594880929,0.17695139131608684,0.9999,1.0,0.5769
36,350.0,0.0,0.5817990622033283,0.20389731321258506,0.0205,1.0,0.0
37,350.0,2.0000000000000018,0.8973130132388225,0.17736487065392373,1.0,1.0,0.6461
38,400.0,0.0,0.5816758564457095,0.20154101417599454,0.0227,1.0,0.0
39,400.0,2.0000000000000018,0.8949283426147595,0.17723323725407483,1.0,1.0,0.7103
