,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,0.6212748166083468,0.20456264176939898,0.058,0.2375,0.0085
1,10.0,2.0000000000000018,0.9239815976498165,-0.1928700721322845,0.2905,0.463,0.0645
2,20.0,0.0,0.5910277400610652,0.20182150290112255,0.074,0.4295,0.004
3,20.0,2.0000000000000018,0.9168264050187483,-0.1790520439525753,0.463,0.796,0.0725
4,30.0,0.0,0.5896408484609116,0.21130359726730435,0.078,0.61,0.003
5,30.0,2.0000000000000018,0.9054343276733531,-0.17916886910657914,0.5855,0.9385,0.102
6,40.0,0.0,0.5959565559702596,0.20697892248101638,0.0835,0.764,0.002
7,40.0,2.0000000000000018,0.900947222472931,-0.17975980041722114,0.7115,0.981,0.1035
8,50.0,0.0,0.5843503070584741,0.20568142834768724,0.0805,0.83275,0.0015
9,50.0,2.0000000000000018,0.9009338548865234,-0.1746059883967276,0.781,0.993,0.1225
10,75.0,0.0,0.5876663519277733,0.20691098853307197,0.074,0.9545,0.0005
11,75.0,2.0000000000000018,0.8992935243576256,-0.17674931354665321,0.895,1.0,0.174
12,150.0,0.0,0.5864021099812213,0.19933368955515232,0.0795,0.999,0.0
13,150.0,2.0000000000000018,0.8923764562441331,-0.17889747886732088,0.9945,1.0,0.3385
