,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,-0.6302200554203211,-0.2349146265660202,0.074,0.0,0.05
1,10.0,2.0000000000000018,-0.23451276344509697,-0.5625021620279923,0.268,0.001,0.19
2,20.0,0.0,-0.5819096216720175,-0.1990944538236748,0.063,0.0,0.074
3,20.0,2.0000000000000018,-0.19547464521866065,-0.5763708946650717,0.464,0.003,0.389
4,30.0,0.0,-0.5611930525689389,-0.1923240600468242,0.066,0.0,0.103
5,30.0,2.0000000000000018,-0.20682207348309248,-0.5882748925704482,0.597,0.002,0.602
6,40.0,0.0,-0.5612063104166893,-0.18993007626481623,0.052,0.0,0.116
7,40.0,2.0000000000000018,-0.18947505861936786,-0.5811504469883415,0.713,0.001,0.737
8,50.0,0.0,-0.5532075508851583,-0.2016378227397442,0.089,0.0,0.177
9,50.0,2.0000000000000018,-0.1930990579063317,-0.5804543125332026,0.823,0.0,0.836
10,75.0,0.0,-0.5389443261103762,-0.19960897506316558,0.072,0.0,0.219
11,75.0,2.0000000000000018,-0.2089489219766587,-0.5854406115132934,0.906,0.002,0.957
12,150.0,0.0,-0.5591350192259325,-0.19951391492847012,0.069,0.0,0.407
13,150.0,2.0000000000000018,-0.1995765360644212,-0.5803268133318827,0.988,0.0,1.0
