,experiment_number,sample_size,groupA_RT_mean,groupB_RT_mean,groupA_Acc_mean,groupB_Acc_mean,RT_effect_size,Acc_effect_size,Drift_effect_size,p_value_RTs,p_value_Acc,p_value_Drift,seed
0,0.0,10.0,1.0606488543646415,1.0806400248536208,0.8675,0.8775000000000001,-0.16885789074826754,-0.2247805947796066,0.0,-0.71015956670509,0.6213220191815408,0.2823529411764706,0.0
1,1.0,10.0,1.0127433123102445,1.121214642771627,0.89,0.89,-1.8181314202621823,0.0,0.0,-0.0007259185749741054,-1.0,1.8352941176470587,1.0
2,2.0,10.0,1.0119393669660568,1.0605820440243021,0.875,0.905,-0.3513891515319347,-0.7087493078623426,0.0,-0.44224657055090233,0.13042034980327016,0.2823529411764706,2.0
3,3.0,10.0,1.0338169096053504,1.0686355285499194,0.8950000000000001,0.8675,-0.3861966259128857,0.5847351773491272,0.0,-0.3991897462722529,-0.20749561432985675,1.4823529411764707,3.0
4,4.0,10.0,1.0886038217525287,1.0277974934957208,0.8825,0.8825,0.5581491017380782,0.0,0.0,0.22800103982808198,-1.0,0.3764705882352941,4.0
5,5.0,10.0,1.0822092339990395,0.9751266239946428,0.8425,0.9075,1.0195635757727413,-1.5267725707382278,0.0,0.03502834286031235,0.003094278037687475,0.0,5.0
6,6.0,10.0,1.0600491259267126,1.0807133335564072,0.885,0.8825000000000001,-0.17829578980935623,0.055470019622521724,0.0,-0.6948176739026696,-0.9026623766357662,1.1176470588235294,6.0
7,7.0,10.0,1.0872653886047168,1.0251117903334481,0.865,0.8825000000000001,0.8702557250394246,-0.3395498750508674,0.0,0.0674448911246313,0.4575276813760346,0.0,7.0
8,8.0,10.0,0.9976211194410036,1.10761087737622,0.8925000000000001,0.86,-1.2279811697382297,0.6663989730190752,0.0,-0.01328948664763592,-0.15350920847182836,1.988235294117647,8.0
9,9.0,10.0,1.021255880636918,1.0235982568310558,0.8924999999999998,0.8925000000000001,-0.025101106704371445,-4.5629349981806675e-15,0.0,-0.9558583536929797,0.999999999999992,1.0705882352941176,9.0
10,10.0,10.0,1.0396953651522194,1.061334386458595,0.8574999999999999,0.8825,-0.19405581341334044,-0.41562569902384505,0.0,-0.6695013597109098,0.3649954791498554,0.5176470588235295,10.0
11,11.0,10.0,1.0950810222130285,1.0570607838094819,0.8950000000000001,0.8775000000000001,0.34967590149704914,0.2905200748237526,0.0,0.4444381012143116,-0.5241402105371024,1.3176470588235294,11.0
12,12.0,10.0,1.04410314419435,1.1128309815591393,0.8724999999999999,0.8975000000000002,-0.5564743495483662,-0.5486377169695966,0.0,-0.22934353379582698,0.23570660803691112,0.9529411764705882,12.0
13,13.0,10.0,1.0740975797433405,1.0239957528979988,0.9174999999999999,0.8550000000000001,0.500079427302819,1.235499338733471,0.0,0.2781789100115912,-0.012821097185415698,1.964705882352941,13.0
14,14.0,10.0,1.0691967520940129,1.1081241017398102,0.9,0.8699999999999999,-0.25759693293806746,0.6016736434183908,0.0,-0.5717446387721934,-0.19520656619478208,1.9529411764705882,14.0
15,15.0,10.0,1.06913459215075,1.009399905645925,0.8699999999999999,0.8424999999999999,0.4886464310504933,0.41960831718935965,0.0,0.28895765759789754,-0.360524742753462,1.6941176470588235,15.0
16,16.0,10.0,1.0187999547528541,1.0881139174199712,0.8400000000000001,0.875,-0.8607737022938102,-0.718184846459606,0.0,-0.0702142579588108,0.1256940647237578,0.47058823529411764,16.0
