,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(groupA),2.0204018522,0.0243301839362,1.97673213179,2.00567293447,2.01833586453,2.0334691648,2.09375860063,0.00245403626197
a(groupB),2.03693798523,0.0248335177701,1.99727650028,2.01689208336,2.03732674577,2.05370300864,2.08763806116,0.00224997612927
a_std,0.0581621929655,0.0137808356312,0.035073676,0.0475524997392,0.0589525157452,0.0677048503076,0.0888490906638,0.00101381215535
a_subj(groupA).0,2.0064762645,0.0537493371106,1.90365884825,1.97199038359,2.01066078587,2.04359406262,2.10678697678,0.00567335631297
a_subj(groupA).1,2.03367247203,0.0557470659116,1.92889128053,1.99784733241,2.02813359055,2.06294925893,2.15936395694,0.00594198883585
a_subj(groupA).2,1.98780292629,0.0581062243459,1.87141795806,1.95230655411,1.98867173078,2.03231097302,2.09358482177,0.00671094415035
a_subj(groupA).3,2.01549465031,0.0622571613951,1.88881573427,1.97322700139,2.01410305301,2.05785657436,2.13454168854,0.00673111186918
a_subj(groupA).4,2.01775251754,0.0577869566513,1.90101582742,1.98041075108,2.01872089399,2.06075099063,2.12056837645,0.00628988199025
a_subj(groupA).5,1.99652601003,0.0592808454298,1.88940856959,1.95996471085,1.99597204747,2.02951120251,2.11623988906,0.00688928751941
a_subj(groupA).6,1.96692827861,0.0617621177873,1.84425946734,1.93169067133,1.97406399602,2.00165065294,2.07967640284,0.00651135371957
a_subj(groupA).7,1.99668319086,0.0580313369431,1.90029384928,1.95070165486,2.00038599938,2.03515077883,2.11738544351,0.00637706609702
a_subj(groupA).8,2.02364339561,0.0556311125498,1.93220544361,1.98329525641,2.01695999439,2.0538565671,2.13476903547,0.0056236206074
a_subj(groupA).9,1.99604840445,0.0571382315904,1.8886201883,1.95620480956,1.99038163983,2.04147997578,2.09464810354,0.00577116859108
a_subj(groupA).10,2.04263226242,0.0584387401675,1.94835284739,2.00702161716,2.04061230377,2.07954416451,2.18215192291,0.0064565278886
a_subj(groupA).11,2.00996591226,0.0551835082266,1.90501706067,1.97488087528,2.01108149762,2.0409647207,2.12881234703,0.00604908199462
a_subj(groupA).12,2.02212834651,0.0545369885626,1.9034150265,1.98950637147,2.0292373201,2.05790283892,2.12133554268,0.00601918432136
a_subj(groupA).13,2.00063511294,0.0542578925345,1.89777751369,1.96781677332,1.9949221938,2.03565358566,2.12643684616,0.00593972004445
a_subj(groupA).14,2.08270031106,0.0654504559848,1.97198245062,2.03544129934,2.08491572073,2.12471623372,2.22971148114,0.00644436318281
a_subj(groupA).15,2.02252733818,0.0620147006922,1.905351189,1.9801091105,2.02076045206,2.06729996626,2.12808807742,0.00659256927957
a_subj(groupA).16,2.01747551629,0.0606635024017,1.8878431507,1.98651536481,2.01172329294,2.05383683263,2.14651996269,0.00675680395647
a_subj(groupA).17,2.05734858838,0.0617909582145,1.94919441451,2.01870808499,2.04865219214,2.10607791406,2.18336793902,0.00688663895733
a_subj(groupA).18,2.03400944039,0.0618212526923,1.925654039,1.98433732108,2.03726694278,2.07595313233,2.16184213981,0.00655164972632
a_subj(groupA).19,2.00856163435,0.0569262609089,1.91313766188,1.96635842332,2.00326256933,2.04038675075,2.16162547909,0.00641461234057
a_subj(groupA).20,2.00454393031,0.0623688820353,1.90405860226,1.9656560226,1.99759957597,2.04203962609,2.14063518416,0.00658999705853
