,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,0.5739410391516938,0.16519620690597037,0.04,0.15,0.02
1,10.0,2.0000000000000018,0.8947324025047341,-0.22408236215557634,0.21,0.47,0.05
2,10.0,3.9999999999999987,1.262073687386244,-0.5865525354773946,0.58,0.66,0.21
3,10.0,6.000000000000001,1.560901603229635,-0.8955934642933385,0.84,0.94,0.42
4,10.0,7.999999999999997,1.904057952919664,-1.2100252123765285,0.99,0.99,0.68
5,10.0,10.0,2.230851920448963,-1.4282426032855688,1.0,0.99,0.85
6,10.0,12.000000000000002,2.608496447535877,-1.7443031954947825,1.0,1.0,0.97
7,10.0,13.999999999999998,3.004904538718696,-1.9385495525370684,1.0,1.0,0.99
8,10.0,16.0,3.232441073526746,-2.024378705937002,1.0,1.0,1.0
9,20.0,0.0,0.5933386945778416,0.25626309959516935,0.04,0.39,0.01
10,20.0,2.0000000000000018,0.9180325178806469,-0.2300715901297181,0.34,0.79,0.09
11,20.0,3.9999999999999987,1.2190866865652876,-0.5296476231595757,0.82,0.97,0.34
12,20.0,6.000000000000001,1.6291816310864267,-0.8482906799877962,0.99,1.0,0.73
13,20.0,7.999999999999997,1.8966391844275312,-1.1709676385555712,1.0,1.0,0.95
14,20.0,10.0,2.241897844387487,-1.4587071766219488,1.0,1.0,0.98
15,20.0,12.000000000000002,2.647185592952732,-1.7477748781956008,1.0,1.0,1.0
16,20.0,13.999999999999998,2.8843054834950252,-1.9619213984712696,1.0,1.0,1.0
17,20.0,16.0,3.26070196708379,-2.0853014558356127,1.0,1.0,1.0
18,30.0,0.0,0.5850271676642226,0.22736812098002487,0.03,0.6,0.01
19,30.0,2.0000000000000018,0.9179901518275895,-0.1398577606827209,0.46,0.92,0.04
20,30.0,3.9999999999999987,1.2213706022946225,-0.49166791900163503,0.92,1.0,0.43
21,30.0,6.000000000000001,1.5723480607579705,-0.8595180645544315,1.0,1.0,0.88
22,30.0,7.999999999999997,1.8792228277665015,-1.210653010990851,1.0,1.0,1.0
23,30.0,10.0,2.2245004107575888,-1.4236707584105899,1.0,1.0,1.0
24,30.0,12.000000000000002,2.550356839330051,-1.7260776057891971,1.0,1.0,1.0
25,30.0,13.999999999999998,2.880647162627138,-1.944820369826764,1.0,1.0,1.0
26,30.0,16.0,3.2190056893146646,-2.1247655144549613,1.0,1.0,1.0
27,40.0,0.0,0.5948015283065359,0.20025838345465397,0.09,0.73,0.0
28,40.0,2.0000000000000018,0.9147705011451344,-0.18434840731826907,0.63,1.0,0.09
29,40.0,3.9999999999999987,1.260805533664182,-0.5438715266584354,1.0,1.0,0.64
