,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,0.6018114165163336,0.21784102757000195,0.0616,0.2118,0.0052
1,10.0,2.0000000000000018,0.9286142528495543,-0.1905995153235103,0.289,0.4704,0.0544
2,20.0,0.0,0.5958228065510636,0.20568882837661817,0.0732,0.4302,0.0028
3,20.0,2.0000000000000018,0.9143697567446089,-0.1872089231689254,0.4698,0.7984,0.0752
4,30.0,0.0,0.5898782863924081,0.2043106914655194,0.0732,0.6132,0.0018
5,30.0,2.0000000000000018,0.9073046683239245,-0.18053207051622772,0.6048,0.9366,0.0962
6,40.0,0.0,0.5891538179408262,0.20443188674086574,0.074,0.7414,0.002
7,40.0,2.0000000000000018,0.9034822714424783,-0.17847392526323286,0.6922,0.9828,0.1192
8,75.0,0.0,0.584180716492665,0.20413403174325187,0.07333333333333333,0.9545333333333333,0.0004
9,75.0,2.0000000000000018,0.9062977921179541,-0.1748691664393943,0.912,1.0,0.1756
10,150.0,0.0,0.5798647950990083,0.2053174153023667,0.0708,1.0,0.0
11,150.0,2.0000000000000018,0.9000419682033262,-0.1761921312404912,0.9928,1.0,0.3236
