,experiment_number,sample_size,p_value_RTs,p_value_Acc,p_value_Drift
0,0,10,0.579180763593,0.510851703205,0.378138916968
1,1,10,0.407939276267,0.303111912542,0.0108329295407
2,2,10,0.351209682309,0.00270957119392,3.31079203288e-07
3,3,10,0.26366154021,0.0110208277595,0.00151404124915
4,4,10,0.685748504559,0.0464769993556,0.0220969211227
5,5,10,0.464968899626,0.000794487674138,1.36464570285e-07
6,6,10,0.00704375471743,0.147331247792,0.00128821449061
7,7,10,0.394165741442,0.00217285033094,7.71626370481e-07
8,8,10,0.317090308351,0.244964583296,0.144857281421
9,9,10,0.485757149805,0.0860374771892,0.102981907167
10,10,10,0.358644317926,0.00276876926714,3.63587811197e-10
11,11,10,0.774959032807,0.16176311327,0.159621784743
12,12,10,0.555368271855,0.109920294382,0.0316994329161
13,13,10,0.0820052484653,0.000677305350864,5.36055682943e-11
14,14,10,0.355158399146,0.0478636400935,3.75582197272e-06
15,15,10,0.505004402387,0.0797905298866,0.00675950758188
16,16,10,0.137754836942,0.00176301554032,2.8384830279e-07
17,17,10,0.0448442970643,0.00383299203916,1.00767374578e-14
18,18,10,0.0640221487677,1.83659993105e-05,2.70120435153e-14
19,19,10,0.509057213826,0.037025829259,0.00417612849937
20,20,10,0.0616076050975,0.0640213054858,0.00931800903911
21,21,10,0.965301261483,0.250661309375,0.0976550569815
22,22,10,0.405526156301,0.0794947324739,0.0107352783666
23,23,10,0.347336265778,0.409780701163,0.405466384823
24,24,10,0.526437552214,0.0118367237946,3.07116055825e-05
25,25,10,0.720077071502,0.402068608867,0.183036467853
26,26,10,0.289290513048,0.699187503674,0.102745848414
27,27,10,0.891590346236,0.0311492920955,0.0179574262392
28,28,10,0.606507069621,0.0751662779076,0.0317626903517
29,29,10,0.475116532944,2.05000604e-05,1.31358691907e-09
30,30,10,0.31905957756,0.582258656607,1.31280601326e-05
31,31,10,0.0225839185449,0.0116708113914,1.49547905746e-06
32,32,10,0.951169656534,0.699187503674,0.194528325769
33,33,10,0.156453597764,0.00161398414558,4.01303468728e-05
34,34,10,0.0118832963048,0.0263292017366,3.66436270276e-05
35,35,10,0.314224142203,0.321756563769,0.0406035448832
36,36,10,0.186168872947,0.0540304519895,0.0495975698348
37,37,10,0.397336206272,0.138985594954,0.10856671362
38,38,10,0.826648347805,0.00474181885089,3.01585908212e-05
39,39,10,0.0664205140338,0.0581558255048,0.00338424265701
40,40,10,0.862332787774,0.158263383651,0.0969515760098
41,41,10,0.673213835169,0.0478636400935,0.0259545769324
42,42,10,0.270713160213,0.137755158039,0.00475506673069
43,43,10,0.265939076999,0.121544298643,0.0787857872623
44,44,10,0.482918163706,0.0125870860377,0.000590204163797
45,45,10,0.304504281249,0.0137765546082,7.95079071718e-06
46,46,10,0.287177157806,1.0,0.695599191247
47,47,10,0.0910454339792,0.29723242396,0.00472063223931
48,48,10,0.835205464544,0.12683972889,0.0738465914209
49,49,10,0.777438128387,0.0144558704939,0.00622244052162
50,0,20,0.0746453351535,0.00469161816622,5.60962766171e-09
51,1,20,0.112227384389,0.0594094092386,0.00111430390576
52,2,20,0.591847128649,0.11407078034,0.000882812374755
53,3,20,0.429262624412,0.0279848354808,3.33595043904e-05
54,4,20,0.194088247591,0.0836307848866,0.00137670554756
55,5,20,0.0752709296498,0.123345184616,0.000168723174088
56,6,20,0.930951680769,0.00126084984172,7.71631109863e-05
57,7,20,0.404722593146,0.00411408376804,3.17904224014e-07
58,8,20,0.640501136605,0.0524816937208,0.00213980957495
59,9,20,0.550689640965,0.0318002894004,0.000641780517134
60,10,20,0.316250371565,0.00223867576024,9.63779758014e-08
61,11,20,0.974011299813,8.94400881513e-08,1.03020637128e-14
62,12,20,0.0389291337,0.00104973541121,1.04831523639e-13
63,13,20,0.422191086232,0.0763014820017,0.0126605987839
64,14,20,0.364185587639,0.0304702975756,7.70078691262e-05
65,15,20,0.116046718134,0.0757452656966,4.88693209374e-05
66,16,20,0.00412352391288,0.0192414849567,9.03378889976e-07
67,17,20,0.00314630348886,0.000621017830617,2.29877631559e-10
68,18,20,0.0393156093426,0.000150924676311,1.16488653942e-10
69,19,20,0.0435705207106,0.01124740011,4.12257404024e-07
70,20,20,0.0577414033986,0.00091377422191,2.37476740663e-09
71,21,20,0.0400094821832,0.561917172104,0.00426537204199
72,22,20,0.767475438492,0.00467696907761,3.13416896717e-08
73,23,20,0.629761411549,0.000112402174156,1.17888901595e-09
